G. Annual Student Expenses
 , ,Domestic , , , , , , , ,International
 , ,Tuition Fees,Ancillary Fees,Room and Board (on-campus),Room only (on-campus),Board only (on-campus meal plan),Books and Supplies,Transportation (off-campus),Other Expenses,Tuition Fees ,Ancillary Fees,Room and Board (on-campus),Room only (on-campus),Board only (on-campus meal plan),Books and Supplies,Transportation (off-campus),Other Expenses
 ,2022-2023,6110.35 ,957.74 , , , , , , ,30100.00 ,957.74 , , , , , ,
 ,2021-2022,6110.35 ,952.78 ,15389.00 ,9490.00 ,5164.00 ,1100.00 ,1025.20 ,4800.00 ,28665.00 ,952.78 ,15389.00 ,9490.00 ,5164.00 ,1100.00 ,1025.20 ,4800.00
 ,2020-2021,6110.35 ,951.25 ,15024.00 ,9315.00 ,5003.00 ,1100.00 ,939.00 ,4700.00 ,27300.00 ,951.25 ,15024.00 ,9315.00 ,5003.00 ,1100.00 ,939.00 ,4700.00
 ,2019-2020,6110.35 ,965.79 ,14640.50 ,14911.50 ,4370.00 ,1100.00 ,980.00 ,4500.00 ,26000.00 ,965.79 ,14640.50 ,14911.50 ,4370.00 ,1100.00 ,980.00 ,4500.00
 ,2018-2019,6789.29 ,911.10 ,14063.50 ,14571.50 ,4200.00 ,1100.00 ,934.00 ,4500.00 ,24453.54 ,911.10 ,14063.50 ,14571.50 ,4200.00 ,1100.00 ,934.00 ,4500.00
 ,2017-2018,6591.54 ,1169.06 ,11903.00 ,8138.00 ,3317.50 ,1100.00 , ,4500.00 ,23289.09 ,1169.06 ,11903.00 ,8138.00 ,3317.50 ,1100.00 , ,4500.00
 ,2016-2017,6399.00 ,853.00 ,12202.00 ,7913.00 ,3455.50 ,1100.00 , ,4482.00 ,22180.00 ,853.00 ,12202.00 ,7913.00 ,3455.50 ,1100.00 , ,4482.00
 ,2011-2012,5441.00 ,634.00 ,9523.00 ,4787.50 ,2952.50 ,1100.00 , ,2080.00 ,16968.00 ,634.00 ,9523.00 ,4787.50 ,2952.50 ,1100.00 , ,2080.00
Trent University ,2023-2024, , ,14831.00 ,9531.00 ,5300.00 ,1500.00 ,312.00 , , , ,14831.00 ,9531.00 ,5300.00 ,1500.00 ,312.00 ,
 ,2022-2023,6118.48 ,1889.34 , , , , , , ,26190.52 ,1789.88 , , , , , ,
 ,2021-2022,6118.48 ,1752.55 , , , , , , ,24250.48 ,1746.90 , , , , , ,
 ,2020-2021,6118.48 ,1740.15 , , , , , , ,22454.15 ,1736.68 , , , , , ,
 ,2019-2020,6118.48 ,1704.39 , , , , , , ,21384.90 ,1969.39 , , , , , ,
 ,2018-2019,6798.31 ,1660.20 , , , , , , ,20366.57 ,1660.20 , , , , , ,
 ,2017-2018,6600.30 ,1624.62 , , , , , , ,19396.76 ,1889.62 , , , , , ,
 ,2016-2017,6408.00 ,1600.35 , , , , , , ,18831.78 ,1835.35 , , , , , ,
 ,2012-2013,5693.48 ,1389.73 , , , , , , ,16045.43 ,1604.73 , , , , , ,
 ,2011-2012,5448.31 ,1372.36 , , , , , , ,15251.29 ,1372.36 , , , , , ,
 ,2009-2010,5213.69 ,1330.76 , , , , , , ,14496.82 ,1330.76 , , , , , ,
University of Guelph ,2023-2024, , ,14016.00 ,7690.00 ,6326.00 ,1500.00 ,314.00 ,2350.00 , , ,14016.00 ,7690.00 ,6326.00 ,1500.00 ,314.00 ,3106.00
 ,2022-2023,6090.92 ,1525.33 ,13453.50 ,8018.50 ,5735.00 ,1500.00 , ,2350.00 ,30317.16 ,1525.33 ,13453.50 ,8018.50 ,5735.00 ,1500.00 , ,2350.00
 ,2021-2022,6090.92 ,1445.87 , ,8020.00 ,4380.00 ,1400.00 , ,2250.00 ,28333.80 ,1146.91 , ,8020.00 ,4380.00 ,1400.00 , ,2250.00
 ,2020-2021,6090.92 ,1445.87 ,11938.00 ,7638.00 ,5300.00 ,1400.00 , ,2250.00 ,26730.00 ,1445.87 ,11938.00 ,7638.00 ,5300.00 ,1400.00 , ,2250.00
 ,2019-2020,6090.92 ,1390.91 , ,7127.50 ,5300.00 ,1350.00 , ,2250.00 ,24299.86 ,1390.91 , ,7127.50 ,5300.00 ,1350.00 , ,2886.00
 ,2018-2019,6768.00 ,1631.00 ,9052.00 ,7205.00 , ,1350.00 , ,2250.00 ,22091.00 ,1631.00 ,9052.00 ,7205.00 , ,1350.00 , ,2250.00
 ,2017-2018,6570.58 ,1584.44 , , , , , , ,20840.36 ,1584.44 , , , , , ,
 ,2016-2017,6379.22 ,1224.31 , , , , , , ,20233.36 ,1224.31 , , , , , ,
 ,2011-2012,5446.00 ,968.32 ,9514.00 ,5970.00 ,4160.00 ,1200.00 , ,1500.00 ,16922.00 ,968.32 ,9514.00 ,5970.00 ,4160.00 ,1200.00 , ,2200.00
 ,2009-2010,5212.00 ,941.58 ,9207.50 ,5767.00 ,4037.50 ,1000.00 , ,1200.00 ,16922.00 ,941.58 ,9207.50 ,5767.00 ,4037.50 ,1000.00 , ,2000.00
University of Ottawa ,2023-2024, , ,13890.00 ,7760.00 ,3900.00 , ,447.00 , , , ,13890.00 ,7760.00 ,3900.00 , ,447.00 ,
University of Toronto ,2023-2024, , , , , , , , , , , , , , , ,
 ,2022-2023,6100.00 ,1746.89 , , , , , , ,59320.00 ,1746.89 , , , , , ,
 ,2021-2022,6100.00 ,1808.62 ,14893.50 ,9061.00 ,3345.00 ,1000.00 ,512.60 , ,58160.00 ,1808.62 ,14893.50 ,9061.00 ,3345.00 ,1000.00 ,512.60 ,
 ,2020-2021,6100.00 ,1756.69 ,15283.61 ,9061.00 ,3345.00 ,1000.00 ,512.60 , ,57020.00 ,1756.69 ,15283.61 ,9061.00 ,3345.00 ,1000.00 ,512.60 ,
 ,2019-2020,6100.00 ,1694.33 ,15391.50 ,8175.00 ,2240.00 ,1000.00 ,512.60 , ,53290.00 ,1694.33 ,15391.50 ,8175.00 ,2240.00 ,1000.00 ,512.60 ,
 ,2018-2019,6780.00 ,1620.88 ,13367.33 ,8142.00 ,2240.00 ,1000.00 ,448.00 , ,49800.00 ,1620.88 ,13367.33 ,8142.00 ,2240.00 ,1000.00 ,448.00 ,
 ,2017-2018,6590.00 ,1576.43 ,12879.16 ,7856.50 ,2240.00 ,1000.00 ,448.00 , ,45690.00 ,1576.43 ,12879.16 ,7856.50 ,2240.00 ,1000.00 ,448.00 ,
 ,2016-2017,6400.00 ,1509.79 ,13088.00 ,7506.50 ,3795.00 ,1000.00 ,448.00 , ,41920.00 ,1509.79 ,13088.00 ,7506.50 ,3795.00 ,1000.00 ,448.00 ,
 ,2015-2016,6220.00 ,1446.18 ,12591.00 ,7015.00 ,3394.50 ,1000.00 ,448.00 , ,38460.00 ,1446.19 ,12591.00 ,7015.00 ,3394.50 ,1000.00 ,448.00 ,
 ,2014-2015,6040.00 ,1382.96 ,12469.50 ,7133.00 ,3299.50 ,1000.00 ,432.00 , ,35280.00 ,1382.96 ,12469.50 ,7133.00 ,3299.50 ,1000.00 ,432.00 ,
 ,2013-2014,5865.00 ,1293.60 ,11976.50 ,6827.00 ,3273.50 ,1550.00 ,424.00 ,3000.00 ,32075.00 ,1293.60 ,11976.50 ,6827.00 ,3273.50 ,1550.00 ,424.00 ,3684.00
 ,2012-2013,5695.00 ,1157.88 ,12994.00 ,6611.00 ,3124.50 ,1550.00 ,416.00 ,3000.00 ,28409.00 ,1157.88 ,12994.00 ,6611.00 ,3124.50 ,1550.00 ,416.00 ,3684.00
 ,2011-2012, , , ,7428.00 , , , , , , , ,7428.00 , , , ,
 ,2009-2010,5216.00 , ,11156.50 ,6008.00 ,2637.50 ,1400.00 ,396.00 ,2750.00 ,23478.00 , ,11156.50 ,6008.00 ,2637.50 ,1400.00 ,396.00 ,3470.00
University of Waterloo ,2023-2024, , ,13454.00 ,7587.00 ,6250.00 ,2500.00 , ,3080.00 , , ,13454.00 ,7587.00 ,6250.00 ,2500.00 , ,3080.00
 ,2022-2023,6128.00 ,1496.44 ,12740.50 ,7295.50 ,5930.00 ,2500.00 , ,3080.00 ,46772.00 ,1496.44 ,12740.50 ,7295.50 ,5930.00 ,2500.00 , ,3080.00
 ,2021-2022,6128.00 ,1489.37 ,12277.00 ,7189.50 ,5600.00 ,2100.00 , ,3080.00 ,42520.00 ,1489.37 ,12277.00 ,7189.50 ,5600.00 ,2100.00 , ,3080.00
 ,2020-2021,6128.00 ,1432.11 ,12125.00 ,7189.50 ,5448.00 ,2100.00 , ,3080.00 ,38656.00 ,1432.11 ,12125.00 ,7189.50 ,5448.00 ,2100.00 , ,3080.00
 ,2019-2020,6128.00 ,1130.19 ,11837.50 ,6998.50 ,5304.00 ,2290.00 , ,3080.00 ,33614.00 ,1130.19 ,11837.50 ,6998.50 ,5304.00 ,2290.00 , ,3080.00
 ,2018-2019,6810.00 ,969.10 ,11568.00 ,6874.50 ,5150.00 ,2150.00 , ,3080.00 ,29230.00 ,969.10 ,11568.00 ,6874.50 ,5150.00 ,2150.00 , ,3080.00
 ,2017-2018,6612.00 ,931.92 ,11612.50 ,6754.00 ,5010.00 ,2000.00 , ,3000.00 ,26940.00 ,931.92 ,11612.50 ,6754.00 ,5010.00 ,2000.00 , ,3000.00
 ,2016-2017,6420.00 ,929.64 ,10867.00 ,6588.50 ,4800.00 ,2000.00 , ,3000.00 ,24830.00 ,929.64 ,10867.00 ,6588.50 ,4800.00 ,2000.00 , ,3000.00
 ,2011-2012,5462.00 ,943.44 ,9250.00 ,5650.00 ,3780.00 ,2000.00 , ,2900.00 ,18654.00 ,1197.44 ,9250.00 ,5650.00 ,3780.00 ,2000.00 , ,2900.00
 ,2009-2010,5230.00 ,752.44 ,8170.00 ,5491.50 ,3988.00 ,2000.00 , ,2900.00 ,18110.00 ,752.44 ,8170.00 ,5491.50 ,3988.00 ,2000.00 , ,2900.00
 ,2008-2009,5004.00 ,730.00 ,8615.50 ,5331.50 ,3645.00 ,1800.00 , ,2425.50 ,17582.00 ,730.00 ,8615.50 ,5331.50 ,3645.00 ,1800.00 , ,3493.50
 ,2007-2008,4788.00 ,743.00 ,8378.00 ,4663.00 ,3780.00 ,1800.00 , ,2425.50 ,17070.00 ,743.00 ,8378.00 ,4663.00 ,3780.00 ,1800.00 , ,3493.50
University of Windsor ,2023-2024, , ,12514.00 , , ,1500.00 ,320.00 ,2000.00 , , ,12514.00 , , ,1500.00 ,320.00 ,2000.00
 ,2022-2023,5799.80 ,1215.68 , , , , , , ,30200.00 ,1215.68 , , , , , ,
 ,2021-2022,5799.80 ,1117.26 ,12866.50 , , ,1500.00 ,320.00 ,1600.00 ,29320.00 ,1124.26 ,12866.50 , , ,1500.00 ,320.00 ,1600.00
 ,2020-2021,6128.00 ,1432.11 ,12125.00 ,7189.50 ,5448.00 ,2100.00 , ,3080.00 ,38656.00 ,1432.11 ,12125.00 ,7189.50 ,5448.00 ,2100.00 , ,3080.00
 ,2019-2020,5799.80 ,1059.78 ,11577.00 ,6777.00 ,100.00 ,1500.00 , ,1700.00 ,24680.00 ,1066.78 ,11577.00 ,6777.00 ,100.00 ,1500.00 , ,1700.00
