K. Other Useful Information
 , ,Employment Rate (2 Yrs) , , , , , , , , , , , , , , , , , , , , , , , , , , ,Employment Rate (6 Mths)
 , ,Agriculture & Biological Science,Architecture ,Business & Commerce,Computer Science,Dentistry ,Education ,Engineering ,Fine & Applied Arts,Food Science & Nutrition,Forestry ,Humanities ,Journalism ,"Kinesiology, Recreation & Phys. Educ.",Law ,Mathematics ,Medicine & Related Programs,Nursing ,Optometry ,Other Arts & Science,Other Health Professions,Pharmacy ,Physical Science,Social Science,Theology ,Therapy & Rehabilitation,Veterinary Medicine,Overall Average,Agriculture & Biological Science,Architecture ,Business & Commerce,Computer Science,Dentistry ,Education ,Engineering ,Fine & Applied Arts,Food Science & Nutrition,Forestry ,Humanities ,Journalism ,"Kinesiology, Recreation & Phys. Educ.",Law ,Mathematics ,Medicine & Related Programs,Nursing ,Optometry ,Other Arts & Science,Other Health Professions,Pharmacy ,Physical Science,Social Science,Theology ,Therapy & Rehabilitation,Veterinary Medicine,Overall Average
 ,2012,100.00 , ,98.88 ,91.67 , ,97.75 ,97.18 , , , ,100.00 , , , ,*, ,100.00 , , ,93.10 , ,* ,91.67 , , , ,96.18 ,76.92 , ,82.95 ,82.86 , ,84.09 ,87.14 , , , ,81.25 , , , ,*, ,94.74 , , ,83.64 , ,* ,80.00 , , , ,84.52
 ,2011,87.50 , ,96.61 ,92.86 , ,96.30 ,93.55 , , , , , , , , , ,97.14 , , ,87.88 , ,100.00 ,96.00 , , , ,94.82 ,61.54 , ,82.54 ,71.43 , ,77.10 ,84.38 , , , , , , , , , ,91.18 , , ,67.74 , ,* ,83.33 , , , ,79.62
 ,2010,95.45 , ,92.19 ,90.91 , ,93.33 ,93.94 , , , , , , , ,*, ,100.00 , , ,78.26 , ,88.89 ,83.72 , , , ,91.77 ,93.75 , ,96.88 ,86.36 , ,89.52 ,84.13 , , , , , , , ,*, ,90.63 , , ,73.91 , ,100.00 ,76.19 , , , ,87.73
 ,2009,76.92 , ,97.06 ,93.33 , ,95.35 ,97.83 , , , , , , , ,*, ,97.56 , , ,100.00 , ,87.50 ,92.50 , , , ,95.26 ,60.00 , ,83.58 ,70.00 , ,84.52 ,83.33 , , , , , , , ,*, ,100.00 , , ,89.29 , ,75.00 ,84.21 , , , ,84.38
 ,2008,* , ,92.68 ,* , ,96.88 ,100.00 , , , , , , , ,*, ,100.00 , , ,85.71 , , ,90.00 , , , ,94.55 ,* , ,97.67 ,* , ,91.18 ,91.18 , , , , , , , , , ,100.00 , , ,100.00 , ,* ,85.19 , , , ,93.03
 ,2007,* , ,98.21 , , ,100.00 ,95.24 , , , , , , , , , ,100.00 , , , , ,* ,95.83 , , , ,98.45 ,* , ,91.23 , , ,98.36 ,90.00 , , , , , , , , , ,96.67 , , , , ,* ,90.48 , , , ,94.24
 ,2006, , , , , ,100.00 , , , , , , , , , , , , , , , , , , , , ,100.00 , , , , , ,90.91 , , , , , , , , , , , , , , , , , , , , ,90.91
 ,2005, , , , , ,100.00 , , , , , , , , , , , , , , , , , , , , ,100.00 , , , , , ,100.00 , , , , , , , , , , , , , , , , , , , , ,100.00
 ,2004, , , , , ,100.00 , , , , , , , , , , , , , , , , , , , , ,100.00 , , , , , ,86.70 , , , , , , , , , , , , , , , , , , , , ,86.67
"Ottawa - Saint-Paul, Universit?" ,2021, ,, , ,,,, , ,,0.91 ,, ,,, ,,, , ,, ,1.00 ,1.00 , , ,0.94 , ,, , ,,,, , ,,0.96 ,, ,,, ,,, , ,, ,1.00 ,1.00 , , ,0.97
 ,2020, , , , , , , , , , ,90.30 , , , , , , , ,100.00 , , , ,100.00 ,90.50 , , ,90.90 , , , , , , , , , , ,74.20 , , , , , , , ,100.00 , , , ,100.00 ,89.50 , , ,81.10
 ,2019, , , , , , , , , , ,88.90 , , , , , , , , , , , , ,93.80 , , ,90.70 , , , , , , , , , , ,81.50 , , , , , , , , , , , , ,92.90 , , ,85.40
 ,2018, , , , , , , , , , ,95.00 , , , , , , , , , , , , ,80.00 , , , , , , , , , , , , , ,90.00 , , , , , , , , , , , , ,75.00 , , ,
 ,2017, , , , , , , , , , ,92.33 , , , , , , , ,50.00 , , , , ,100.00 , , , , , , , , , , , , , ,92.31 , , , , , , , ,50.00 , , , , ,93.75 , , ,
 ,2016, , , , , , , , , , ,50.00 , , , , , , , , , , , , ,90.00 , , , , , , , , , , , , , ,80.00 , , , , , , , , , , , , ,83.33 , , ,
Queen's University ,2021,96.30 ,,100.00 ,94.59 ,,95.74 ,96.86 ,90.91 , ,,96.70 ,,100.00 ,95.56 ,93.75 ,100.00 ,100.00 ,,100.00 ,100.00 ,,89.47 ,95.38 ,, , ,96.43 ,96.84 ,,97.56 ,88.24 ,,97.85 ,93.43 ,92.86 , ,,94.05 ,,92.00 ,100.00 ,100.00 ,100.00 ,100.00 ,,100.00 ,100.00 ,,88.24 ,93.41 ,, , ,95.27
 ,2020,94.35 , ,96.18 ,90.48 , ,97.94 ,98.45 ,90.32 , , ,95.88 , ,100.00 ,98.33 ,94.12 ,100.00 ,100.00 , , ,* , ,100.00 ,95.67 , , , ,96.65 ,83.82 , ,95.31 ,85.29 , ,96.72 ,91.98 ,100.00 , , ,92.77 , ,92.86 ,96.55 ,92.86 ,100.00 ,98.15 , , ,* , ,91.30 ,92.35 , , , ,92.92
 ,2019,95.14 , ,95.38 ,100.00 , ,96.82 ,97.67 ,92.50 , , ,96.23 , ,91.43 ,92.31 ,100.00 ,100.00 ,96.08 , , ,* , ,94.12 ,95.06 , , , ,95.93 ,93.33 , ,98.44 ,97.22 , ,98.10 ,89.88 ,89.47 , , ,91.00 , ,93.10 ,98.11 ,91.67 ,100.00 ,94.12 , , ,* , ,100.00 ,91.70 , , , ,94.19
 ,2018,90.24 , ,96.91 ,87.10 , ,95.00 ,93.96 ,87.76 , , ,91.21 , ,93.75 ,92.11 ,100.00 ,100.00 ,100.00 , , , , ,86.67 ,90.06 , , , ,92.60 ,86.49 , ,96.15 ,93.55 , ,98.75 ,92.99 ,97.44 , , ,92.22 , ,100.00 ,93.18 ,100.00 ,100.00 ,100.00 , , , , ,87.50 ,92.73 , , , ,94.37
 ,2017,96.58 , ,98.36 ,95.83 , ,97.16 ,96.36 ,94.12 , , ,95.10 , ,93.10 ,96.67 ,93.33 ,100.00 ,100.00 , , , , ,92.86 ,96.94 , , , ,96.79 ,90.22 , ,97.48 ,90.91 , ,97.19 ,89.94 ,95.83 , , ,95.35 , ,100.00 ,96.61 ,88.89 ,100.00 ,98.08 , , , , ,81.82 ,85.38 , , , ,93.22
 ,2016,92.68 , ,99.01 ,100.00 , ,97.35 ,94.08 ,95.35 , , ,93.00 , ,94.12 ,92.00 ,80.00 ,100.00 ,100.00 , , , , ,95.24 ,93.82 , , , ,95.14 ,91.09 , ,97.03 ,90.91 , ,94.56 ,86.33 ,91.67 , , ,90.41 , ,90.91 ,98.04 ,60.00 ,100.00 ,93.33 , , , , ,88.24 ,90.32 , , , ,91.89
 ,2015,88.39 , ,97.65 ,96.97 , ,97.39 ,96.00 ,93.15 , , ,94.24 , ,90.48 ,94.52 ,100.00 ,100.00 ,100.00 , , , , ,93.10 ,94.94 , , , ,95.43 ,90.48 , ,96.41 ,81.25 , ,91.95 ,88.46 ,93.06 , , ,89.34 , ,92.86 ,97.30 ,100.00 ,100.00 ,98.15 , , , , ,76.00 ,91.43 , , , ,91.92
 ,2014,90.91 , ,98.68 ,90.00 , ,95.77 ,94.66 ,97.00 , , ,92.96 , ,89.47 ,94.92 ,90.91 ,100.00 ,100.00 , , , , ,94.59 ,91.50 , , , ,94.59 ,88.89 , ,94.63 ,94.74 , ,91.89 ,86.23 ,89.61 , , ,90.83 , ,89.47 ,96.43 ,87.50 ,98.04 ,93.42 , , , , ,90.63 ,90.64 , , , ,90.96
 ,2013,89.02 , ,99.33 ,100.00 , ,96.52 ,92.31 ,94.32 , , ,93.53 , ,91.43 ,92.96 ,94.74 ,100.00 ,100.00 , , , , ,93.55 ,93.53 , , , ,94.36 ,90.06 , ,97.26 ,80.95 , ,89.96 ,88.79 ,90.00 , , ,89.29 , ,90.00 ,92.86 ,100.00 ,100.00 ,93.10 , , , , ,76.67 ,87.38 , , , ,90.34
 ,2012,94.59 , ,96.70 ,72.73 , ,97.30 ,93.36 ,94.44 , , ,91.67 , ,90.91 ,90.77 ,100.00 ,100.00 ,100.00 , , , , ,100.00 ,94.86 , , , ,94.81 ,85.19 , ,97.78 ,77.78 , ,90.54 ,87.55 ,87.10 , , ,95.74 , ,95.24 ,93.94 ,*,100.00 ,94.23 , , , , ,90.00 ,91.75 , , , ,91.01
 ,2011,87.10 , ,97.50 ,100.00 , ,95.29 ,91.45 ,92.45 , , ,87.63 , ,100.00 ,100.00 ,90.00 ,95.65 ,100.00 , , , , ,93.55 ,92.16 , , , ,92.98 ,83.70 , ,97.53 ,93.33 , ,94.57 ,93.57 ,95.24 , , ,85.53 , ,91.67 ,100.00 ,87.50 ,100.00 ,100.00 , , , , ,96.88 ,86.59 , , , ,91.83
 ,2010,92.94 , ,96.08 ,100.00 , ,95.00 ,94.12 ,94.87 , , ,93.50 , ,76.92 ,95.65 ,87.50 ,92.86 ,88.46 , , , , ,90.91 ,91.67 , , , ,93.53 ,94.34 , ,92.08 ,88.89 , ,87.78 ,94.41 ,83.87 , , ,88.24 , ,83.33 ,92.96 ,80.00 ,72.73 ,88.89 , , , , ,100.00 ,87.85 , , , ,90.12
 ,2009,94.67 , ,94.17 ,100.00 , ,89.94 ,96.61 ,80.95 , , ,89.86 , ,100.00 ,95.45 ,100.00 ,90.00 ,100.00 , , , , ,92.00 ,91.12 , , , ,92.83 ,88.97 , ,91.30 ,93.33 , ,87.18 ,88.57 ,100.00 , , ,91.67 , ,70.00 ,83.72 ,83.33 ,82.35 ,96.00 , , , , ,88.46 ,87.10 , , , ,88.49
 ,2008,92.65 , ,100.00 ,100.00 , ,96.18 ,96.55 ,100.00 , , ,93.33 , ,100.00 ,94.29 ,100.00 ,97.14 ,97.73 , , , , ,100.00 ,98.50 , , , ,96.83 ,92.19 , ,95.59 ,73.68 , ,92.26 ,92.50 ,91.30 , , ,93.94 , ,92.86 ,97.14 ,100.00 ,100.00 ,97.83 , , , , ,94.74 ,92.37 , , , ,93.27
 ,2007,94.32 , ,95.52 ,100.00 , ,96.02 ,97.56 ,95.35 , , ,95.83 , ,91.67 ,94.74 ,100.00 ,100.00 ,100.00 , , , , ,100.00 ,97.54 , , , ,96.64 ,96.20 , ,98.53 ,87.50 , ,95.29 ,95.33 ,90.00 , , ,93.22 , ,100.00 ,97.22 ,81.82 ,100.00 ,100.00 , , , , ,75.00 ,96.26 , , , ,95.37
 ,2006,98.20 , ,100.00 ,90.90 , ,96.10 ,99.10 ,96.00 , , ,95.00 , ,* ,100.00 ,*,100.00 ,100.00 , , , , ,* ,96.30 , ,100.00 , ,97.50 ,97.50 , ,100.00 ,87.50 , ,93.60 ,91.30 ,100.00 , , ,100.00 , ,* ,95.80 ,*,100.00 ,100.00 , , , , ,* ,96.30 , ,100.00 , ,95.90
 ,2005,91.10 , ,98.10 ,100.00 , ,97.70 ,97.10 ,100.00 , , ,95.20 , ,100.00 ,100.00 ,100.00 ,100.00 ,100.00 , , , , ,100.00 ,97.70 , , , ,97.29 ,92.10 , ,97.90 ,100.00 , ,95.90 ,92.60 ,100.00 , , ,93.80 , ,88.90 ,94.30 ,*,100.00 ,100.00 , , , , ,85.60 ,96.20 , , , ,95.27
 ,2004,100.00 , ,98.10 ,85.00 , ,97.70 ,94.70 ,92.90 , , ,98.60 , ,90.90 ,100.00 ,*,100.00 , , , ,94.70 , ,* ,96.90 , , , ,96.91 ,100.00 , ,100.00 ,92.30 , ,95.60 ,86.70 ,90.00 , , ,97.80 , ,100.00 ,88.20 ,*,100.00 , , , ,100.00 , ,* ,93.40 , , , ,94.43
Toronto Metropolitan University ,2021,90.38 ,100.00 ,94.30 ,83.64 ,,89.74 ,90.78 ,87.58 ,92.31 ,,89.66 ,91.89 , ,,100.00 , ,97.84 ,, ,86.21 ,,100.00 ,93.44 ,, , ,92.48 ,71.93 ,100.00 ,91.60 ,76.79 ,,100.00 ,82.23 ,86.88 ,84.62 ,,88.24 ,89.19 , ,,90.00 , ,97.22 ,, ,83.33 ,,60.00 ,86.70 ,, , ,88.17
 ,2020,93.85 ,92.59 ,93.55 ,87.80 , ,90.48 ,93.09 ,90.95 ,94.29 , ,97.14 ,94.23 , , ,91.67 , ,96.22 , , ,91.23 , ,85.71 ,92.88 , , , ,93.16 ,82.09 ,72.41 ,81.36 ,81.40 , ,96.49 ,66.34 ,77.99 ,82.76 , ,72.46 ,87.76 , , ,80.00 , ,97.67 , , ,77.59 , ,* ,78.57 , , , ,80.37
 ,2019,85.71 ,88.89 ,93.04 ,97.56 , ,90.00 ,93.27 ,91.43 ,84.00 , ,84.69 ,90.91 , , ,92.31 , ,96.19 , ,* ,91.30 , ,100.00 ,93.58 , , , ,92.48 ,75.86 ,89.47 ,91.19 ,82.93 , ,98.25 ,81.28 ,89.20 ,85.00 , ,84.95 ,90.57 , , ,81.82 , ,92.92 , ,* ,84.78 , ,85.71 ,87.57 , , , ,88.34
 ,2018,84.85 ,93.55 ,92.72 ,91.49 , ,90.79 ,92.00 ,88.94 ,85.19 , ,84.78 ,92.59 , , ,75.00 , ,97.96 , , ,87.50 , ,100.00 ,90.26 , , , ,91.21 ,81.36 ,93.75 ,92.89 ,91.30 , ,97.33 ,85.02 ,91.12 ,88.46 , ,90.91 ,87.72 , , ,70.00 , ,92.23 , ,100.00 ,85.11 , ,100.00 ,91.35 , , , ,90.67
 ,2017,82.35 ,94.12 ,94.59 ,89.47 , ,98.25 ,87.73 ,95.70 ,92.86 , ,95.71 ,92.86 , , ,100.00 , ,97.27 , ,100.00 ,92.19 , ,88.89 ,94.59 , , , ,93.99 ,81.25 ,94.12 ,92.22 ,78.95 , ,98.11 ,80.25 ,90.05 ,95.00 , ,88.57 ,97.50 , , ,57.14 , ,89.71 , , ,82.81 , ,100.00 ,87.01 , , , ,88.70
 ,2016,88.89 ,100.00 ,93.92 ,100.00 , ,98.25 ,94.48 ,97.39 ,87.80 , ,92.86 ,100.00 , , ,100.00 , ,98.19 , ,100.00 ,88.00 , ,83.33 ,96.10 , , , ,95.12 ,77.78 ,92.31 ,86.79 ,85.71 , ,100.00 ,82.27 ,87.50 ,87.10 , ,87.27 ,92.00 , , ,100.00 , ,81.17 , ,100.00 ,73.47 , ,33.33 ,91.21 , , , ,86.72
 ,2015,84.85 ,88.89 ,94.80 ,85.71 , ,90.48 ,91.54 ,96.63 ,84.38 , ,87.14 ,95.12 , , ,100.00 , ,91.97 , ,100.00 ,92.59 , ,100.00 ,94.44 , , , ,93.21 ,85.71 ,93.75 ,87.30 ,92.31 , ,95.00 ,79.49 ,89.77 ,80.65 , ,83.33 ,79.07 , , ,66.67 , ,72.27 , ,100.00 ,69.81 , ,80.00 ,89.58 , , , ,84.95
 ,2014,85.29 ,100.00 ,92.49 ,92.31 , ,93.55 ,89.41 ,95.60 ,82.86 , ,92.45 ,94.87 , , ,66.67 , ,97.88 , ,100.00 ,90.00 , ,100.00 ,92.78 , , , ,93.04 ,65.71 ,81.25 ,85.92 ,84.62 , ,96.20 ,78.66 ,85.37 ,78.57 , ,87.04 ,78.57 , , ,100.00 , ,85.96 , ,50.00 ,69.23 , ,85.71 ,88.67 , , , ,84.98
 ,2013,91.30 ,90.63 ,92.83 ,96.30 , ,92.73 ,88.05 ,93.02 ,95.12 , ,88.68 ,86.67 , , ,*, ,93.77 , ,* ,75.81 , ,100.00 ,92.01 , , , ,91.74 ,75.00 ,82.76 ,83.68 ,96.43 , ,98.90 ,72.37 ,88.73 ,80.00 , ,84.91 ,82.22 , , ,*, ,79.21 , ,* ,63.16 , ,75.00 ,83.46 , , , ,82.75
 ,2012,82.35 ,92.50 ,95.02 ,95.24 , ,100.00 ,86.24 ,94.41 ,92.86 , ,100.00 ,100.00 , , ,*, ,95.83 , , ,88.37 , ,* ,93.42 , , , ,94.01 ,38.89 ,71.43 ,85.79 ,80.00 , ,95.45 ,76.77 ,86.23 ,79.17 , ,88.57 ,89.66 , , ,*, ,82.70 , , ,62.79 , ,* ,84.01 , , , ,83.05
 ,2011,87.50 ,92.31 ,93.25 ,95.24 , ,88.71 ,90.48 ,91.06 ,91.18 , ,88.24 ,91.43 , , , , ,96.37 , , ,85.42 , ,* ,91.08 , , , ,92.13 ,72.22 ,77.78 ,86.54 ,85.71 , ,98.04 ,74.47 ,83.87 ,80.00 , ,87.88 ,81.82 , , , , ,85.08 , , ,72.00 , ,* ,85.94 , , , ,84.40
 ,2010, ,92.11 ,95.26 ,88.00 , ,84.06 ,89.83 ,90.70 ,79.31 , ,88.64 ,95.56 , , , , ,96.94 , , ,83.33 , ,60.71 ,90.77 , , , ,92.15 , ,86.05 ,86.82 ,87.50 , ,75.44 ,72.48 ,83.08 ,91.30 , ,91.11 ,95.45 , , , , ,84.78 , , ,71.05 , ,34.48 ,86.30 , , , ,83.50
 ,2009, ,96.00 ,94.68 ,95.83 , ,88.68 ,95.60 ,94.23 ,94.74 , ,94.29 ,88.89 , , , , ,98.09 , , ,96.67 , ,87.50 ,94.97 , , , ,94.82 , ,91.67 ,87.17 ,88.00 , ,95.12 ,82.95 ,83.49 ,93.75 , ,89.19 ,88.89 , , , , ,92.50 , , ,83.87 , ,100.00 ,90.00 , , , ,88.42
 ,2008, ,95.65 ,94.43 ,100.00 , ,96.36 ,96.67 ,92.98 ,89.47 , ,96.67 ,96.88 , , , , ,97.91 , , ,97.22 , ,85.71 ,93.45 , , , ,95.26 , ,91.67 ,92.76 ,96.43 , ,88.89 ,80.68 ,91.53 ,88.24 , ,93.10 ,93.33 , , , , ,97.86 , , ,85.71 , ,100.00 ,86.75 , , , ,91.28
 ,2007, ,92.31 ,95.57 ,100.00 , ,86.96 ,93.14 ,95.45 ,95.45 , ,82.35 ,85.71 , , , , ,100.00 , , ,97.56 , ,* ,96.39 , , , ,95.24 , ,96.15 ,94.12 ,95.24 , ,94.12 ,83.00 ,94.12 ,88.24 , ,88.24 ,91.30 , , , , ,98.17 , , ,81.58 , ,* ,93.79 , , , ,92.89
 ,2006,100.00 , ,100.00 ,* , ,100.00 , , , , ,91.38 , , , ,*, ,*, , , , ,91.67 ,97.06 , , , ,96.17 ,100.00 , ,100.00 ,* , ,93.33 , , , , ,93.18 , , , ,*, ,*, , , , ,100.00 ,92.59 , , , ,94.97
 ,2005, ,100.00 ,97.20 ,95.20 , ,90.30 ,100.00 ,98.40 ,100.00 , ,100.00 ,96.00 , , , , ,100.00 , , ,100.00 , ,* ,98.70 , , , ,97.83 , ,92.30 ,95.10 ,90.90 , ,95.70 ,82.90 ,93.60 ,90.90 , ,100.00 ,88.90 , , , , ,96.90 , , ,86.40 , ,* ,96.10 , , , ,93.51
 ,2004, ,100.00 ,96.70 ,96.40 , ,100.00 ,85.40 ,94.90 ,92.30 , ,95.50 ,100.00 , , , , ,100.00 , , ,93.30 , ,* ,98.50 , , , ,96.49 , ,95.20 ,91.40 ,85.20 , ,100.00 ,78.10 ,88.70 ,100.00 , ,90.90 ,79.00 , , , , ,99.00 , , ,93.30 , ,* ,96.90 , , , ,92.06
Trent University ,2021,96.43 ,,90.91 ,80.00 ,,100.00 ,, , ,,96.91 ,, ,,, ,98.11 ,,100.00 , ,,95.45 ,94.84 ,, , ,95.70 ,93.60 ,,83.87 ,84.62 ,,96.23 ,, , ,,95.43 ,, ,,, ,94.39 ,,100.00 , ,,85.71 ,89.33 ,, , ,91.91
 ,2020,91.40 , ,93.33 ,92.31 , ,97.87 , , , , ,91.15 , , , , , ,98.29 , ,* , , ,94.12 ,95.10 , , , ,93.87 ,91.01 , ,84.93 ,58.33 , ,95.65 , , , , ,84.85 , , , , , ,99.15 , ,* , , ,86.67 ,85.93 , , , ,88.72
 ,2019,94.38 , ,94.23 ,84.62 , ,98.08 , , , , ,96.12 , , , , , ,98.90 , ,* , , ,82.35 ,95.76 , , , ,95.59 ,85.19 , ,82.69 ,91.67 , ,98.08 , , , , ,95.69 , , , , , ,96.67 , ,* , , ,76.47 ,93.86 , , , ,92.04
 ,2018,89.29 , ,97.30 ,87.50 , ,92.86 , ,50.00 , , ,95.18 , , , ,100.00 , ,97.78 , ,50.00 , , ,91.67 ,90.20 , , , ,92.16 ,80.90 , ,92.86 ,87.50 , ,96.55 , ,100.00 , , ,91.14 , , , ,100.00 , ,100.00 , , , , ,83.33 ,90.85 , , , ,90.35
 ,2017,92.13 , ,96.15 ,100.00 , ,100.00 , , , , ,98.91 , , , ,100.00 , ,98.90 , ,100.00 , , ,100.00 ,94.90 , , , ,96.58 ,87.18 , ,89.13 ,100.00 , ,100.00 , , , , ,94.52 , , , ,100.00 , ,93.18 , ,100.00 , , ,100.00 ,90.48 , , , ,92.23
 ,2016,98.28 , ,92.31 ,100.00 , ,100.00 , ,100.00 , , ,90.57 , , , ,100.00 , ,98.51 , ,100.00 , , ,100.00 ,96.30 , , , ,96.21 ,70.91 , ,61.54 ,90.00 , ,100.00 , ,66.67 , , ,94.44 , , , ,100.00 , ,95.38 , , , , ,88.89 ,89.52 , , , ,85.54
 ,2015,90.62 , ,89.80 ,100.00 , ,96.25 , , , , ,93.98 , , , ,100.00 , ,98.94 , , , , ,75.00 ,91.57 , , , ,93.43 ,82.50 , ,85.42 ,100.00 , ,91.36 , , , , ,87.50 , , , ,100.00 , ,90.80 , , , , ,75.00 ,88.36 , , , ,88.07
 ,2014,91.30 , ,84.38 ,75.00 , ,95.70 , ,93.75 , , ,94.19 , , , ,100.00 , ,100.00 , , , , ,92.31 ,90.43 , , , ,92.99 ,79.41 , ,80.65 ,100.00 , ,90.32 , ,92.31 , , ,97.14 , , , ,100.00 , ,97.37 , , , , ,100.00 ,88.44 , , , ,90.13
 ,2013,96.49 , ,92.86 ,* , ,96.97 , ,100.00 , , ,92.45 , , , ,*, ,100.00 , , , , ,100.00 ,94.02 , , , ,95.41 ,87.93 , ,85.96 ,* , ,87.25 , ,73.33 , , ,93.33 , , , ,*, ,86.15 , , , , ,100.00 ,85.26 , , , ,87.36
 ,2012,89.47 , ,80.56 ,* , ,98.21 , ,100.00 , , ,93.33 , , , ,*, ,100.00 , , , , ,100.00 ,94.53 , , , ,94.01 ,82.05 , ,80.56 ,* , ,85.45 , ,* , , ,97.96 , , , ,*, ,93.62 , , , , ,* ,90.35 , , , ,89.52
 ,2011,83.33 , ,92.31 ,* , ,90.14 , ,100.00 , , ,94.64 , , , ,*, ,96.00 , , , , ,* ,93.00 , , , ,91.88 ,76.92 , ,96.30 ,* , ,86.57 , ,85.71 , , ,90.24 , , , ,*, ,87.50 , , , , ,* ,91.21 , , , ,88.11
 ,2010,94.44 , ,96.97 ,80.00 , ,94.00 , ,69.23 , , ,92.59 , , , ,*, ,92.00 , , , , ,81.82 ,92.74 , , , ,92.11 ,84.21 , ,90.63 ,100.00 , ,87.76 , ,66.67 , , ,90.28 , , , ,*, ,96.15 , , , , ,80.00 ,88.70 , , , ,88.52
 ,2009,90.74 , ,100.00 , , ,95.58 , ,100.00 , , ,91.53 , , , , , , , , ,100.00 , ,88.89 ,85.64 , , , ,91.19 ,94.64 , ,100.00 , , ,92.59 , ,100.00 , , ,88.30 , , , , , , , , ,95.56 , ,88.89 ,80.35 , , , ,88.27
 ,2008,91.30 , ,100.00 ,* , ,89.74 , ,100.00 , , ,92.96 , , , ,*, ,100.00 , , , , ,* ,91.96 , , , ,92.80 ,95.24 , ,100.00 ,* , ,93.59 , ,100.00 , , ,91.67 , , , ,*, ,100.00 , , , , ,* ,92.22 , , , ,94.35
 ,2007,90.63 , ,96.88 , , ,98.67 , ,77.78 , , ,91.46 , , , ,*, ,100.00 , , , , ,* ,94.83 , , , ,94.49 ,83.78 , ,93.75 , , ,94.81 , ,91.67 , , ,92.86 , , , ,*, ,100.00 , , , , ,* ,92.59 , , , ,92.92
 ,2006,100.00 , ,100.00 ,* , ,100.00 , , , , ,91.38 , , , ,*, ,*, , , , ,91.67 ,97.06 , , , ,96.17 ,100.00 , ,100.00 ,* , ,93.33 , , , , ,93.18 , , , ,*, ,*, , , , ,100.00 ,92.59 , , , ,94.97
 ,2005,85.70 , ,96.00 , , ,94.90 , , , , ,97.70 , , , ,*, ,100.00 , ,100.00 , , ,100.00 ,93.00 , , , ,96.90 ,92.90 , ,96.30 , , ,95.10 , , , , ,96.70 , , , ,*, ,100.00 , ,100.00 , , ,100.00 ,98.50 , , , ,94.90
 ,2004,100.00 , ,100.00 ,100.00 , ,94.40 , , , , ,95.60 , , , ,*, ,100.00 , ,* , , ,* ,90.90 , , , ,93.80 ,91.70 , ,100.00 ,100.00 , ,90.00 , , , , ,97.10 , , , , , ,100.00 , ,* , , ,* ,91.70 , , , ,94.30
University of Guelph ,2021,94.03 ,100.00 ,93.35 ,87.50 ,,,91.62 ,80.00 ,96.98 ,,91.43 ,,94.59 ,,100.00 , ,,,96.97 ,94.12 ,,100.00 ,96.25 ,, ,98.04 ,94.70 ,88.53 ,97.06 ,93.48 ,80.00 ,,,90.12 ,81.25 ,96.15 ,,86.41 ,,93.16 ,,75.00 , ,,,100.00 ,100.00 ,,93.75 ,89.73 ,, ,100.00 ,91.94
 ,2020,96.49 ,94.44 ,94.01 ,93.94 , , ,93.84 ,88.89 ,97.18 , ,95.24 , ,96.19 , ,100.00 , , , ,97.22 ,82.35 , ,95.65 ,94.84 , , ,100.00 ,95.37 ,85.87 ,80.95 ,88.36 ,79.41 , , ,78.63 ,83.33 ,89.88 , ,73.47 , ,87.25 , ,100.00 , , , ,88.89 ,78.95 , ,71.43 ,86.72 , , ,100.00 ,86.18
 ,2019,93.56 ,88.24 ,94.58 ,95.83 , , ,92.86 ,92.31 ,95.75 , ,83.78 , ,92.31 , ,*, , , ,69.23 ,100.00 , ,94.44 ,89.78 , , ,100.00 ,92.57 ,89.95 ,82.35 ,90.95 ,96.00 , , ,90.32 ,92.86 ,92.93 , ,91.55 , ,91.53 , ,*, , , ,85.71 ,88.89 , ,88.24 ,95.22 , , ,96.77 ,92.01
 ,2018,93.64 ,91.30 ,92.07 ,96.43 , , ,92.93 ,95.24 ,94.43 , ,89.81 , ,94.67 , ,100.00 , , , ,85.29 ,100.00 , ,100.00 ,89.55 , , ,97.44 ,92.48 ,92.52 ,96.15 ,94.91 ,100.00 , , ,92.86 ,94.44 ,92.16 , ,92.59 , ,91.57 , ,100.00 , , , ,94.44 ,60.00 , ,90.48 ,86.59 , , ,100.00 ,92.03
 ,2017,95.02 ,96.30 ,96.34 ,96.43 , , ,96.88 ,92.00 ,94.18 , ,95.83 , ,98.46 , ,100.00 , , , ,93.94 ,60.00 , ,84.21 ,95.16 , , ,100.00 ,95.35 ,94.06 ,100.00 ,94.87 ,89.29 , , ,87.78 ,81.48 ,94.27 , ,91.89 , ,94.20 , ,100.00 , , , ,88.57 ,50.00 , ,75.00 ,91.58 , , ,96.97 ,92.44
 ,2016,96.82 ,100.00 ,98.33 ,100.00 , , ,98.61 ,93.75 ,96.08 , ,94.17 , ,95.65 , ,100.00 , , , ,98.11 , , ,100.00 ,95.49 , , ,100.00 ,96.80 ,91.19 ,76.47 ,91.53 ,100.00 , , ,91.18 ,100.00 ,91.25 , ,92.86 , ,91.03 , ,75.00 , , , ,93.88 , , ,88.00 ,92.95 , , ,97.56 ,91.86
