K. Other Useful Information
 , ,Employment Rate (2 Yrs) , , , , , , , , , , , , , , , , , , , , , , , , , , ,Employment Rate (6 Mths)
 , ,Agriculture & Biological Science,Architecture ,Business & Commerce,Computer Science,Dentistry ,Education ,Engineering ,Fine & Applied Arts,Food Science & Nutrition,Forestry ,Humanities ,Journalism ,"Kinesiology, Recreation & Phys. Educ.",Law ,Mathematics ,Medicine & Related Programs,Nursing ,Optometry ,Other Arts & Science,Other Health Professions,Pharmacy ,Physical Science,Social Science,Theology ,Therapy & Rehabilitation,Veterinary Medicine,Overall Average,Agriculture & Biological Science,Architecture ,Business & Commerce,Computer Science,Dentistry ,Education ,Engineering ,Fine & Applied Arts,Food Science & Nutrition,Forestry ,Humanities ,Journalism ,"Kinesiology, Recreation & Phys. Educ.",Law ,Mathematics ,Medicine & Related Programs,Nursing ,Optometry ,Other Arts & Science,Other Health Professions,Pharmacy ,Physical Science,Social Science,Theology ,Therapy & Rehabilitation,Veterinary Medicine,Overall Average
 ,2017,87.80 ,86.96 ,97.10 ,95.56 , , ,92.27 ,88.24 , , ,93.23 ,100.00 , , ,93.75 , , , ,92.06 , , ,88.24 ,95.25 , , , ,94.12 ,83.72 ,84.00 ,90.23 ,90.70 , , ,83.51 ,100.00 , , ,87.57 ,90.00 , , ,84.62 , , , ,86.21 , , ,87.50 ,90.98 , , , ,88.65
 ,2016,100.00 ,82.35 ,96.64 ,97.67 , , ,94.17 ,100.00 , , ,95.98 ,89.29 , , ,87.50 , , , ,94.20 , , ,86.21 ,94.92 , , , ,94.87 ,84.38 ,88.24 ,93.86 ,93.02 , , ,85.51 ,96.00 , , ,85.57 ,88.89 , , ,87.50 , , , ,84.21 , , ,81.48 ,88.55 , , , ,87.93
 ,2015,87.80 ,100.00 ,95.51 ,96.00 , , ,89.57 ,92.00 , , ,93.55 ,92.50 , , ,100.00 , , , ,92.59 , , ,88.00 ,93.63 , , , ,93.06 ,71.88 ,95.00 ,92.67 ,87.50 , , ,79.08 ,88.00 , , ,83.82 ,90.00 , , ,87.50 , , , ,76.79 , , ,85.71 ,87.18 , , , ,85.56
 ,2014,88.46 ,96.88 ,93.42 ,95.74 , , ,89.45 ,96.30 , , ,90.09 ,100.00 , , ,100.00 , , , ,92.94 , , ,91.43 ,93.52 , , , ,92.74 ,66.67 ,84.62 ,87.82 ,91.84 , , ,75.37 ,88.46 , , ,88.67 ,93.02 , , ,77.78 , , , ,83.72 , , ,73.33 ,86.76 , , , ,85.04
 ,2013,89.47 ,95.65 ,98.00 ,87.50 , , ,91.83 ,88.46 , , ,91.88 ,94.87 , , ,100.00 , , , ,94.20 , , ,76.19 ,91.41 , , , ,92.14 ,84.85 ,96.15 ,86.71 ,88.24 , , ,79.59 ,85.19 , , ,86.73 ,97.22 , , ,93.75 , , , ,80.88 , , ,70.59 ,85.71 , , , ,85.36
 ,2012,96.55 ,89.29 ,97.08 ,97.06 , , ,91.16 ,100.00 , , ,90.40 ,91.49 , , ,93.33 , , , ,87.65 , , ,83.33 ,93.45 , , , ,92.63 ,93.10 ,91.18 ,89.55 ,97.06 , , ,85.64 ,78.57 , , ,86.15 ,83.33 , , ,92.86 , , , ,83.75 , , ,91.30 ,88.66 , , , ,87.75
 ,2011,87.50 ,92.31 ,96.49 ,100.00 , , ,93.33 ,93.94 , , ,92.81 ,90.91 , , ,90.91 , , , ,91.47 , , ,90.00 ,90.83 , , , ,92.33 ,56.00 ,85.71 ,91.96 ,96.88 , , ,81.16 ,81.82 , , ,81.15 ,80.00 , , ,90.91 , , , ,88.46 , , ,90.00 ,86.51 , , , ,85.37
 ,2010,89.29 ,95.45 ,96.30 ,96.67 , , ,91.89 ,88.89 , , ,92.26 ,94.87 , , ,88.89 , , , ,84.76 , , ,100.00 ,89.51 , , , ,90.99 ,82.14 ,100.00 ,88.89 ,100.00 , , ,83.33 ,83.33 , , ,88.19 ,92.68 , , ,80.00 , , , ,72.28 , , ,* ,85.33 , , , ,85.42
 ,2009,95.00 ,100.00 ,95.33 ,100.00 , , ,90.55 ,85.71 , , ,90.12 ,100.00 , , ,90.91 , , , ,85.07 , , ,* ,92.58 , , , ,91.73 ,77.27 ,93.75 ,88.79 ,77.78 , , ,83.47 ,71.43 , , ,88.31 ,80.95 , , ,83.33 , , , ,80.60 , , ,* ,85.17 , , , ,84.54
 ,2008,100.00 ,90.00 ,98.48 ,100.00 , , ,96.15 ,94.12 , , ,93.97 ,95.45 , , ,88.24 , , , ,93.55 , , ,* ,95.47 , , , ,95.40 ,86.96 ,80.00 ,94.12 ,100.00 , , ,90.10 ,92.86 , , ,92.04 ,95.24 , , ,80.00 , , , ,70.91 , , ,* ,93.79 , , , ,90.98
